publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,lifestage,trophic_level,range_edge,species_type,number_species,note.spp,detailobs,notes_obs,measurement_type,decadal_change_daysperdecade,decadal unit,metric_source,note.bio,notes,consistent_with_climatechange,Exploited,Nonclimatic_factors_analysed,season,SeasonalClimateShift_daysperdecade,depth_category,LifeHistoryDevelopment
2006,"Ahas, R. and A. Aasa 2006. The effects of climate change on the phenology of selected Estonian plant, bird and fish populations. International Journal of Biometeorology 51:17:26",Peer-reviewed journal,Baltic Sea,Semi-enclosed seas,Northern,58.2,24.3,1000000,NA,1951,1998,48,25,Irregular,NA,Bony fish,Taxa,Osmerus eperlanus,Smelt,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,2,NA,Phenology,Spawning ,Population,-0.05,days,Calculated from manuscript or supplementary material,Not tested,NA,Consistent,Exploited,No,Spring,0.041334295,Coastal,Meroplanktonic
2003,"Philippart, C. J. M., H. M. van Aken, J. J. Beukema, O. G. Bos, G. C. Cadee, and R. Dekker. 2003. Climate-related changes in recruitment of the bivalve Macoma balthica. Limnology and Oceanography 48:2171-2185.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53,4.8,1,see Fig 1; Dutch Wadden Sea bucket samples from NIOZ sampling jetty,1973,2001,29,29,Continuous,348,Benthic crustacea,Taxa,Crangon crangon,shrimp,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,3,NA,Phenology,Time of peak 0-group crangon predation pressure (summed squared length of individuals per m2),Population,-31,days,Calculated from manuscript or supplementary material,Not tested,table 6,Consistent,Exploited,Yes,Spring,-0.362070066,Coastal,Meroplanktonic
2003,"Philippart, C. J. M., H. M. van Aken, J. J. Beukema, O. G. Bos, G. C. Cadee, and R. Dekker. 2003. Climate-related changes in recruitment of the bivalve Macoma balthica. Limnology and Oceanography 48:2171-2185.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53,4.8,1,see Fig 1; Dutch Wadden Sea bucket samples from NIOZ sampling jetty,1973,2001,29,29,Continuous,348,Phytoplankton,Assemblage,Phytoplankton assemblage,phytoplankton  ,Multiple life stages,Primary producer,Centre,Cosmopolitan,3,NA,Phenology,Time of phytoplankton spring bloom,Population,0,days,Calculated from manuscript or supplementary material,Not tested, figs from table 6,No change,Not exploited,Yes,Spring,-0.362070066,Coastal,Planktonic
2009,"Beukema, J.J., Dekker, R., Jansen, J.M. 2009. Some like it cold: populations of the tellinid bivalve Macoma balthica (L.) suffer in various ways from a warming climate. Marine Ecology Progress Series 384: 135_145",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53,6,100,Dutch Wadden Sea,1969,2007,39,35,Continuous,525,Benthic molluscs,Taxa,Macoma balthica rubra,bivalve,Adult: breeding,Secondary consumer : Omnivore suspension feeder,Centre,Cold water,1,NA,Phenology,Spawning start dates,Single,-10,days,Given in manuscript or supplementary material,Not tested,NA,Consistent,Not exploited,No,Spring,0.481904344,Coastal,Meroplanktonic
2010,"Dufour, F., H. Arrizabalaga, X. Irigoien and J. Santiago. 2010. Climate impacts on albacore and bluefin tunas migrations phenology and spatial distribution. Progress in Oceanography 86: 283-290",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-13,100000,NA,1981,2005,25,10,Two periods,140196,Bony fish,Taxa,Thunnus thynnus,bluefin tuna,Multiple life stages - juvenile and older (not egg or larvae),Top level predator,Centre,Warm water,2,NA,Phenology,Departure from feeding grounds (95% percentile of fishery catches),Population,-0.4,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Autumn,-0.697497629,Pelagic,Meroplanktonic
2010,"Dufour, F., H. Arrizabalaga, X. Irigoien and J. Santiago. 2010. Climate impacts on albacore and bluefin tunas migrations phenology and spatial distribution. Progress in Oceanography 86: 283-290",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-13,1000000,NA,1967,2005,39,10,Two periods,11823,Bony fish,Taxa,Thunnus alalunga,albacore,Multiple life stages - juvenile and older (not egg or larvae),Top level predator,Centre,Warm water,2,NA,Phenology,Arrival on feeding grounds (5% percentile of fishery catches),Population,-2,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Spring,-0.048700024,Pelagic,Meroplanktonic
2006,"Costello, J.H, B.K. Sullivan and D.J. Gifford. 2006. A physical-biological interaction underlying variable phenological responses to climate change by coastal zooplankton. Journal of Plankton Research 28:1099-1105",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,41.5,-71.35,1000,estuary,1951,2003,53,15,Irregular,NA,Zooplankton,Taxa,Mnemiopsis leidyi,NA,Multiple life stages - juvenile and older (not egg or larvae),"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,2,NA,Phenology,Date of first appearance (spring/summer),Single,-11.13,days,Calculated from manuscript or supplementary material,Yes statistically significant,fig 1,Consistent,Not exploited,No,Winter,-0.70742671,Coastal,Planktonic
2010,"Kennedy, R. J. and W. W. Crozier. 2010. Evidence of changing migratory patterns of wild Atlantic salmon Salmo salar smolts in the River Bush, Northern Ireland, and possible associations with climate change. Journal of Fish Biology. 76: 1786-1805",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,55.2,-6.53,100,traps at river bush mouth,1978,2008,31,31,Continuous,31,Bony fish,Taxa,Salmo salar,Atlantic salmon,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,1,NA,Phenology,date peak of smolt emigration,Population,-4.8,days,Given in manuscript or supplementary material,Yes statistically significant,"degree days were used, rather than temperature",Consistent,Exploited,No,Spring,0.341810004,Coastal,Nektonic
2004,"Juanes, F., S. Gephard and K.F. Beland. 2004. Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution. Canadian journal of Fisheries and Aquatic Sciences 61:2392-2400",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,41.25,-72.35,1,"Rainbow dam, Connecticut river",1978,2000,23,23,Continuous,NA,Bony fish,Taxa,Salmo salar,Atlantic salmon,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,5,NA,Phenology,Median arrival date,Population,-4.5,days,Calculated from manuscript or supplementary material,Not statistically significant,NA,Consistent,Exploited,No,Spring,-0.024103807,Coastal,Nektonic
2004,"Juanes, F., S. Gephard and K.F. Beland. 2004. Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution. Canadian journal of Fisheries and Aquatic Sciences 61:2392-2400",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,41.25,-72.35,1,"Holyoke dam, Connecticut river",1978,2000,23,23,Continuous,NA,Bony fish,Taxa,Salmo salar,Atlantic salmon,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,5,NA,Phenology,Median arrival date,Population,-5,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Spring,-0.024103807,Coastal,Nektonic
2004,"Juanes, F., S. Gephard and K.F. Beland. 2004. Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution. Canadian journal of Fisheries and Aquatic Sciences 61:2392-2400",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,44.05,-68.95,1,Penobscot river,1978,2001,24,24,Continuous,NA,Bony fish,Taxa,Salmo salar,Atlantic salmon,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,5,NA,Phenology,Median arrival date,Population,-7.1,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Spring,-0.208885176,Coastal,Nektonic
2004,"Juanes, F., S. Gephard and K.F. Beland. 2004. Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution. Canadian journal of Fisheries and Aquatic Sciences 61:2392-2400",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,49.2,-58.35,1,"Torrent river, large fish",1967,1999,33,32,Continuous,NA,Bony fish,Taxa,Salmo salar,Atlantic salmon,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,5,NA,Phenology,Median arrival date,Population,-9.11,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Spring,-0.160434835,Coastal,Nektonic
