publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,depth_category,lifestage,trophic,range_edge,species_type,number_species,note.spp,detailobs,measurement_type,direction_change,decadal_change_kmperdecade,decadal unit,metric_source,note.bio,consistent_with_climatechange,VelocityofClimateChange_kmperdec,exploited,LifeHistoryDevelopment,Nonclimatic_factors_analysed
1999,"Swaby, S.E. and G.W. Potts 1999. The sailfin dory, a first British record. Journal of Fish Biology 54: 1338-1340",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,49.67,-4.33,1000000,NA,1966,1995,30,23,Irregular,NA,Bony fish,Taxa,Zenopsis conchifera,sailfin dory,Demersal,Multiple life stages - juvenile and older (not egg or larvae),Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,1,NA,Expansion of recorded sightings,Site,1,536.07,km,Calculated from manuscript or supplementary material,"Included as range edge, rather than first record because they have more information on previous range from fish market surveys.",Consistent,453.0316649,Not exploited,Meroplanktonic,No
2010,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53.75,5,100000,study sites approx,1969,2008,40,40,Continuous,Approx. estimate of data ponts,Bony fish,Taxa,Buglossidium luteum ,solenette,Demersal,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,2,NA,Distribution,Site,1,65.59090909,km,Calculated from manuscript or supplementary material,see figs 1 and 3. Calculated rate of change using all years and northern most symbol for density of 50 in fig 1. calculated degree change using temp change on fig 3 (second quarter for consistency),Consistent,1000,Not exploited,Meroplanktonic,No
2010,"van Hal, R., K. Smits and A.D. Rijnsdorp 2010. How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea. Journal of Sea Research 64: 76-84.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53.75,5,100000,study sites approx,1969,2008,40,40,Continuous,Approx. estimate of data ponts,Bony fish,Taxa,Arnoglossus laterna,scaldfish,Demersal,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,2,NA,Distribution,Site,1,95.86363636,km,Calculated from manuscript or supplementary material,see figs 2 and 3. Calculated rate of change using all years and northern most symbol for density of 50 in fig 2. calculated degree change using temp change on fig 3 (second quarter for consistency),Consistent,1000,Not exploited,Meroplanktonic,No
2006,"Sabates, A., P. Martin, J. Lloret and V. Raya. 2006. Sea warming and fish distribution: the case of the small pelagic fish, Sardinella aurita, in the western Mediterranean. Global Change Biology. 12: 2209-2219",Peer-reviewed journal,Mediterranean Sea,Semi-enclosed seas,Northern,40,1,100000,NA,1950,2004,55,15,Continuous,fisheries catch database,Bony fish,Taxa,Sardinella aurita,round sardinella,Pelagic,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,1,NA,Leading edge extension,Site,1,40,km,Given in manuscript or supplementary material,in discussion,Consistent,1000,Exploited,Meroplanktonic,No
2008,"Wethey, D. S. and S. A. Woodin. 2008. Ecological hindcasting of biogeographic responses to climate change in the European intertidal zone. Hydrobiologia 606:139-151.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,43,-9.3,10000,"Iberia contraction in Galicia  >50 study sites, 50 put for clarity sake",1972,2006,35,4,Two periods,"compare 1872, 1955, 1963, 1971, 2005-2006. Data points approx",Benthic crustacea,Taxa,Semibalanus balanoides ,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Trailing edge,Cold water,2,NA,Polewards range contraction in Galicia,Site,1,-10,km,Calculated from manuscript or supplementary material,region of cold water upwelling hence both northwards and southwards contractions towards upwelling region. Dec.test was 'Not tested' because no statistical test used (but model test used),Consistent,591.3429292,Not exploited,Meroplanktonic,No
2008,"Wethey, D. S. and S. A. Woodin. 2008. Ecological hindcasting of biogeographic responses to climate change in the European intertidal zone. Hydrobiologia 606:139-151.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,46,-1.4,10000,"St Jean de Luz to Sables d'Olonne, France, >50 study sites, 50 put for clarity sake",1972,2006,35,2,Two periods,"compare 1872, 1955, 1963, 1971, 2005-2006. Data points approx",Benthic crustacea,Taxa,Semibalanus balanoides ,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Trailing edge,Cold water,2,NA,Northward range contraction,Site,1,-50,km,Given in manuscript or supplementary material,region of cold water upwelling hence both northwards and southwards contractions towards upwelling region. Dec.test was 'Not tested' because no statistical test used (but model test used),Consistent,432.5843216,Not exploited,Meroplanktonic,No
2008,"Wethey, D. S. and S. A. Woodin. 2008. Ecological hindcasting of biogeographic responses to climate change in the European intertidal zone. Hydrobiologia 606:139-151.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,43,-9.3,10000,"Iberia extension >50 study sites, 50 put for clarity sake",1923,2006,84,5,Two periods,"compare 3 time periods 1898, 1923, 2006  Data points approx",Benthic invert. (other),Taxa,Diopatra neapolitana,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,2,NA,Northward range expansion,Site,1,36,km,Given in manuscript or supplementary material,region of cold water upwelling hence both northwards and southwards contractions towards upwelling region. Dec.test was 'Not tested' because no statistical test used (but model test used),Consistent,591.3429292,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1962,2000,39,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Scurria viridula  ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,1,55.13,km,Calculated from manuscript or supplementary material,NA,Consistent,286.2837334,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1975,2000,26,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Lottia orbignyi ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,1,137.69,km,Calculated from manuscript or supplementary material,NA,Consistent,286.2837334,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1947,2000,54,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Assemblage,benthic mollusc assemblage,benthic molluscs,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,0,0,km,Calculated from manuscript or supplementary material,change in end points,No change,286.2837334,Not exploited,Meroplanktonic,No
